Scenario,Object Type,Object Name,Data Item,Statistic Type,Average,NumberOfWorkers,BagInterarrivalTime(Minutes)
Scenario1,Sink,SnkDumpSite,TimeInSystem,Average (Minutes),28.58,1,Random.Exponential(0.5)
Scenario1,Sink,SnkNotCollected,TimeInSystem,Average (Minutes),34.10,1,Random.Exponential(0.5)
Scenario2,Sink,SnkDumpSite,TimeInSystem,Average (Minutes),99.77,1,Random.Exponential(0.2)
Scenario2,Sink,SnkNotCollected,TimeInSystem,Average (Minutes),107.27,1,Random.Exponential(0.2)
Scenario3,Sink,SnkDumpSite,TimeInSystem,Average (Minutes),7.02,2,Random.Exponential(0.5)
Scenario3,Sink,SnkNotCollected,TimeInSystem,Average (Minutes),9.40,2,Random.Exponential(0.5)
Scenario4,Sink,SnkDumpSite,TimeInSystem,Average (Minutes),7.18,2,Random.Exponential(0.5)
Scenario4,Sink,SnkNotCollected,TimeInSystem,Average (Minutes),8.54,2,Random.Exponential(0.5)
