Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Server,SrvCollection,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,SrvCollection,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,SrvCollection,[Resource],Capacity,UnitsUtilized,Average,0.299064493,0.28897826,0.307674825,0.004386103,0.006131775
Scenario1,Server,SrvCollection,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,SrvCollection,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeProcessing,Average (Minutes),0.199474477,0.196183756,0.203005673,0.001467954,0.002052201
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeProcessing,Occurrences,449.8,434,464,6.597392285,9.223159256
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeProcessing,Percent,29.90644932,28.89782596,30.76748245,0.438610304,0.613177527
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeProcessing,Total (Minutes),89.71934796,86.69347789,92.30244736,1.315830913,1.839532582
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeStarved,Average (Minutes),0.467018892,0.44784231,0.491489682,0.009614606,0.013441227
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeStarved,Occurrences,450.5,434,465,6.661281693,9.312476696
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeStarved,Percent,70.09355068,69.23251755,71.10217404,0.438610304,0.613177527
Scenario1,Server,SrvCollection,[Resource],ResourceState,TimeStarved,Total (Minutes),210.280652,207.6975526,213.3065221,1.315830913,1.839532582
Scenario1,Server,SrvCollection,InputBuffer,Throughput,NumberEntered,Total,449.8,434,464,6.597392285,9.223159256
Scenario1,Server,SrvCollection,InputBuffer,Throughput,NumberExited,Total,449.8,434,464,6.597392285,9.223159256
Scenario1,Server,SrvCollection,OutputBuffer,Content,NumberInStation,Average,0.059967796,0.037995955,0.079969293,0.00964783,0.013487673
Scenario1,Server,SrvCollection,OutputBuffer,Content,NumberInStation,Maximum,1,1,1,0,0
Scenario1,Server,SrvCollection,OutputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvCollection,OutputBuffer,HoldingTime,TimeInStation,Average (Minutes),0.039959745,0.025672943,0.053550866,0.006207447,0.008678015
Scenario1,Server,SrvCollection,OutputBuffer,HoldingTime,TimeInStation,Maximum (Minutes),0.35401716,0.236689087,0.491343554,0.064363446,0.089980145
Scenario1,Server,SrvCollection,OutputBuffer,HoldingTime,TimeInStation,Minimum (Minutes),0,0,0,0,0
Scenario1,Server,SrvCollection,OutputBuffer,Throughput,NumberEntered,Total,449.5,433,464,6.661281693,9.312476696
Scenario1,Server,SrvCollection,OutputBuffer,Throughput,NumberExited,Total,449.5,433,464,6.661281693,9.312476696
Scenario1,Server,SrvCollection,Processing,Content,NumberInStation,Average,0.299064493,0.28897826,0.307674825,0.004386103,0.006131775
Scenario1,Server,SrvCollection,Processing,Content,NumberInStation,Maximum,1,1,1,0,0
Scenario1,Server,SrvCollection,Processing,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvCollection,Processing,HoldingTime,TimeInStation,Average (Minutes),0.199518548,0.196183756,0.203005673,0.001440981,0.002014492
Scenario1,Server,SrvCollection,Processing,HoldingTime,TimeInStation,Maximum (Minutes),0.294224553,0.289704118,0.298314635,0.002243771,0.003136793
Scenario1,Server,SrvCollection,Processing,HoldingTime,TimeInStation,Minimum (Minutes),0.107509562,0.103042475,0.112606649,0.002174789,0.003040357
Scenario1,Server,SrvCollection,Processing,Throughput,NumberEntered,Total,449.8,434,464,6.597392285,9.223159256
Scenario1,Server,SrvCollection,Processing,Throughput,NumberExited,Total,449.5,433,464,6.661281693,9.312476696
Scenario1,Server,SrvInspection,[Resource],Capacity,ScheduledUtilization,Percent,99.4926212,98.3326009,99.95634921,0.358962531,0.501829882
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsAllocated,Total,501.5,486,510,4.901,6.851601597
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsUtilized,Average,0.994926212,0.983326009,0.999563492,0.003589625,0.005018299
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,SrvInspection,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeProcessing,Average (Minutes),116.0827265,32.77753363,299.8690476,73.63272693,102.9386063
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeProcessing,Occurrences,4.5,1,9,2.058019485,2.87711275
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeProcessing,Percent,99.4926212,98.3326009,99.95634921,0.358962531,0.501829882
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeProcessing,Total (Minutes),298.4778636,294.9978027,299.8690476,1.076887594,1.505489647
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeStarved,Average (Minutes),0.286321119,0.130952381,0.601484006,0.12419343,0.173622506
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeStarved,Occurrences,4.5,1,9,2.058019485,2.87711275
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeStarved,Percent,0.507378801,0.043650794,1.667399097,0.358962531,0.501829882
Scenario1,Server,SrvInspection,[Resource],ResourceState,TimeStarved,Total (Minutes),1.522136402,0.130952381,5.002197291,1.076887594,1.505489647
Scenario1,Server,SrvInspection,InputBuffer,Content,NumberInStation,Average,50.61898342,35.14419792,66.20170279,6.871749057,9.606710225
Scenario1,Server,SrvInspection,InputBuffer,Content,NumberInStation,Maximum,105.5,78,134,13.36623182,18.68600189
Scenario1,Server,SrvInspection,InputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvInspection,InputBuffer,HoldingTime,TimeInStation,Average (Minutes),24.83294286,17.93239161,32.00947895,3.161768536,4.420154734
Scenario1,Server,SrvInspection,InputBuffer,HoldingTime,TimeInStation,Maximum (Minutes),53.49090937,41.21732463,63.87045525,5.348444677,7.477129584
Scenario1,Server,SrvInspection,InputBuffer,HoldingTime,TimeInStation,Minimum (Minutes),0,0,0,0,0
Scenario1,Server,SrvInspection,InputBuffer,Throughput,NumberEntered,Total,603.4,583,629,11.70619907,16.36527489
Scenario1,Server,SrvInspection,InputBuffer,Throughput,NumberExited,Total,501.5,486,510,4.901,6.851601597
Scenario1,Server,SrvInspection,OutputBuffer,Content,NumberInStation,Average,0.065155489,0.047282985,0.089310081,0.010364983,0.014490254
Scenario1,Server,SrvInspection,OutputBuffer,Content,NumberInStation,Maximum,1.3,1,2,0.345526207,0.483045892
Scenario1,Server,SrvInspection,OutputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvInspection,OutputBuffer,HoldingTime,TimeInStation,Average (Minutes),0.038968819,0.028483726,0.052846202,0.005932999,0.008294337
Scenario1,Server,SrvInspection,OutputBuffer,HoldingTime,TimeInStation,Maximum (Minutes),0.464628799,0.306064986,0.687629557,0.094477937,0.132080226
Scenario1,Server,SrvInspection,OutputBuffer,HoldingTime,TimeInStation,Minimum (Minutes),0,0,0,0,0
Scenario1,Server,SrvInspection,OutputBuffer,Throughput,NumberEntered,Total,500.5,485,509,4.901,6.851601597
Scenario1,Server,SrvInspection,OutputBuffer,Throughput,NumberExited,Total,500.4,485,508,4.806713039,6.719788356
Scenario1,Server,SrvInspection,Processing,Content,NumberInStation,Average,0.994926212,0.983326009,0.999563492,0.003589625,0.005018299
Scenario1,Server,SrvInspection,Processing,Content,NumberInStation,Maximum,1,1,1,0,0
Scenario1,Server,SrvInspection,Processing,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvInspection,Processing,HoldingTime,TimeInStation,Average (Minutes),0.595691784,0.584390194,0.607355009,0.00472707,0.006608447
Scenario1,Server,SrvInspection,Processing,HoldingTime,TimeInStation,Maximum (Minutes),0.981326267,0.972234499,0.990571946,0.00390591,0.005460465
Scenario1,Server,SrvInspection,Processing,HoldingTime,TimeInStation,Minimum (Minutes),0.316521227,0.307035647,0.324405822,0.004481542,0.0062652
Scenario1,Server,SrvInspection,Processing,Throughput,NumberEntered,Total,501.5,486,510,4.901,6.851601597
Scenario1,Server,SrvInspection,Processing,Throughput,NumberExited,Total,500.5,485,509,4.901,6.851601597
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,ScheduledUtilization,Percent,96.14867249,87.92410932,99.71162977,2.484415755,3.473215048
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsAllocated,Total,9.2,8,10,0.657321961,0.918936583
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsUtilized,Average,0.961486725,0.879241093,0.997116298,0.024844158,0.03473215
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,SrvMissedComplaint,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeProcessing,Average (Minutes),274.4212766,140.2474092,299.1348893,34.47832958,48.20073006
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeProcessing,Occurrences,1.1,1,2,0.2262,0.316227766
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeProcessing,Percent,96.14867249,87.92410932,99.71162977,2.484415755,3.473215048
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeProcessing,Total (Minutes),288.4460175,263.772328,299.1348893,7.453247264,10.41964514
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeStarved,Average (Minutes),10.57872345,0.865110679,36.22767203,7.183341758,10.04231705
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeStarved,Occurrences,1.1,1,2,0.2262,0.316227766
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeStarved,Percent,3.85132751,0.288370226,12.07589068,2.484415755,3.473215048
Scenario1,Server,SrvMissedComplaint,[Resource],ResourceState,TimeStarved,Total (Minutes),11.55398253,0.865110679,36.22767203,7.453247264,10.41964514
Scenario1,Server,SrvMissedComplaint,InputBuffer,Content,NumberInStation,Average,9.309246604,5.028613451,13.99942319,2.128591577,2.975772586
Scenario1,Server,SrvMissedComplaint,InputBuffer,Content,NumberInStation,Maximum,19.8,13,29,4.328774348,6.051629716
Scenario1,Server,SrvMissedComplaint,InputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvMissedComplaint,InputBuffer,HoldingTime,TimeInStation,Average (Minutes),92.61852255,59.36521586,116.2533782,13.92765706,19.47087479
Scenario1,Server,SrvMissedComplaint,InputBuffer,HoldingTime,TimeInStation,Maximum (Minutes),177.9442861,106.9632805,235.4189891,26.60439395,37.19296227
Scenario1,Server,SrvMissedComplaint,InputBuffer,HoldingTime,TimeInStation,Minimum (Minutes),0,0,0,0,0
Scenario1,Server,SrvMissedComplaint,InputBuffer,Throughput,NumberEntered,Total,28.4,22,39,4.227782284,5.910442736
Scenario1,Server,SrvMissedComplaint,InputBuffer,Throughput,NumberExited,Total,9.2,8,10,0.657321961,0.918936583
Scenario1,Server,SrvMissedComplaint,OutputBuffer,Throughput,NumberEntered,Total,8.2,7,9,0.657321961,0.918936583
Scenario1,Server,SrvMissedComplaint,OutputBuffer,Throughput,NumberExited,Total,8.2,7,9,0.657321961,0.918936583
Scenario1,Server,SrvMissedComplaint,Processing,Content,NumberInStation,Average,0.961486725,0.879241093,0.997116298,0.024844158,0.03473215
Scenario1,Server,SrvMissedComplaint,Processing,Content,NumberInStation,Maximum,1,1,1,0,0
Scenario1,Server,SrvMissedComplaint,Processing,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvMissedComplaint,Processing,HoldingTime,TimeInStation,Average (Minutes),33.28027019,28.93321467,41.30032033,2.844165628,3.976145636
Scenario1,Server,SrvMissedComplaint,Processing,HoldingTime,TimeInStation,Maximum (Minutes),50.99900041,41.26085441,56.30233194,3.449070917,4.821803673
Scenario1,Server,SrvMissedComplaint,Processing,HoldingTime,TimeInStation,Minimum (Minutes),19.4865802,12.08784617,30.51719703,3.482370276,4.868356202
Scenario1,Server,SrvMissedComplaint,Processing,Throughput,NumberEntered,Total,9.2,8,10,0.657321961,0.918936583
Scenario1,Server,SrvMissedComplaint,Processing,Throughput,NumberExited,Total,8.2,7,9,0.657321961,0.918936583
Scenario1,Server,SrvViolation,[Resource],Capacity,ScheduledUtilization,Percent,33.2969963,27.63018304,38.68657281,2.664988148,3.725655387
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsAllocated,Total,50.2,42,58,3.56539167,4.984420171
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsUtilized,Average,0.332969963,0.27630183,0.386865728,0.026649881,0.037256554
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Server,SrvViolation,[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeProcessing,Average (Minutes),2.712055531,2.368301403,3.516961164,0.239937503,0.335432806
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeProcessing,Occurrences,37,33,42,2.52336664,3.527668415
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeProcessing,Percent,33.2969963,27.63018304,38.68657281,2.664988148,3.725655387
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeProcessing,Total (Minutes),99.89098889,82.89054912,116.0597184,7.994964443,11.17696616
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeStarved,Average (Minutes),5.314557763,4.511430624,6.051406298,0.461486919,0.645159051
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeStarved,Occurrences,38,34,43,2.52336664,3.527668415
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeStarved,Percent,66.7030037,61.31342719,72.36981696,2.664988148,3.725655387
Scenario1,Server,SrvViolation,[Resource],ResourceState,TimeStarved,Total (Minutes),200.1090111,183.9402816,217.1094509,7.994964443,11.17696616
Scenario1,Server,SrvViolation,InputBuffer,Content,NumberInStation,Average,0.067295047,0.019931812,0.168297981,0.031363473,0.043846158
Scenario1,Server,SrvViolation,InputBuffer,Content,NumberInStation,Maximum,2.2,1,4,0.657321961,0.918936583
Scenario1,Server,SrvViolation,InputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvViolation,InputBuffer,HoldingTime,TimeInStation,Average (Minutes),0.386759559,0.142370088,0.870506796,0.1558729,0.217910428
Scenario1,Server,SrvViolation,InputBuffer,HoldingTime,TimeInStation,Maximum (Minutes),3.521828763,1.377150903,8.206753052,1.507056714,2.106866392
Scenario1,Server,SrvViolation,InputBuffer,HoldingTime,TimeInStation,Minimum (Minutes),0,0,0,0,0
Scenario1,Server,SrvViolation,InputBuffer,Throughput,NumberEntered,Total,50.2,42,58,3.56539167,4.984420171
Scenario1,Server,SrvViolation,InputBuffer,Throughput,NumberExited,Total,50.2,42,58,3.56539167,4.984420171
Scenario1,Server,SrvViolation,OutputBuffer,Throughput,NumberEntered,Total,50.2,42,58,3.56539167,4.984420171
Scenario1,Server,SrvViolation,OutputBuffer,Throughput,NumberExited,Total,50.2,42,58,3.56539167,4.984420171
Scenario1,Server,SrvViolation,Processing,Content,NumberInStation,Average,0.332969963,0.27630183,0.386865728,0.026649881,0.037256554
Scenario1,Server,SrvViolation,Processing,Content,NumberInStation,Maximum,1,1,1,0,0
Scenario1,Server,SrvViolation,Processing,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Server,SrvViolation,Processing,HoldingTime,TimeInStation,Average (Minutes),1.987864209,1.920328966,2.074038453,0.032660767,0.045659776
Scenario1,Server,SrvViolation,Processing,HoldingTime,TimeInStation,Maximum (Minutes),2.838723353,2.673651864,2.959084639,0.068927012,0.096360013
Scenario1,Server,SrvViolation,Processing,HoldingTime,TimeInStation,Minimum (Minutes),1.153145529,1.031531142,1.359257406,0.083586251,0.11685364
Scenario1,Server,SrvViolation,Processing,Throughput,NumberEntered,Total,50.2,42,58,3.56539167,4.984420171
Scenario1,Server,SrvViolation,Processing,Throughput,NumberExited,Total,50.2,42,58,3.56539167,4.984420171
Scenario4,ModelEntity,Organics,[Population],FlowTime,TimeInSystem,Average (Minutes),7.166927174,4.522793135,11.06217966,1.435621232,2.006999537
Scenario1,Sink,SnkDumpSite,[DestroyedEntities],FlowTime,TimeInSystem,Maximum (Minutes),199.5966821,140.1498622,253.0729391,23.58523723,32.97217896
Scenario1,Sink,SnkDumpSite,[DestroyedEntities],FlowTime,TimeInSystem,Minimum (Minutes),1.344244634,1.179637612,1.653694963,0.0897838,0.125517818
Scenario1,Sink,SnkDumpSite,[DestroyedEntities],FlowTime,TimeInSystem,Observations,448.8,433,463,6.614604399,9.247221805
