Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Vehicle,Vehicle1,[Population],Capacity,ScheduledUtilization,Percent,100,100,100,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsAllocated,Total,1,1,1,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsUtilized,Average,1,1,1,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Vehicle,Vehicle1,[Population],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Vehicle,Vehicle1[1],[Object],Travel,DistanceTraveled,Total (Meters),14363.74372,13856,14818.42266,210.2016209,293.8620203
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,ScheduledUtilization,Percent,100,100,100,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsAllocated,Total,1,1,1,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsScheduled,Average,1,1,1,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsScheduled,Maximum,1,1,1,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsScheduled,Minimum,1,1,1,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsUtilized,Average,1,1,1,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsUtilized,Maximum,1,1,1,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],Capacity,UnitsUtilized,Minimum,0,0,0,0,0
Scenario1,Vehicle,Vehicle1[1],[Resource],ResourceState,TimeTransporting,Average (Minutes),300,300,300,0,0
