Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,8,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,2,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,3,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,4,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,5,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,6,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,7,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,8,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,9,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,10,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,2,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,3,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,4,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,5,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,6,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,7,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,8,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,9,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,10,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,77
Scenario1,2,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,90
Scenario1,3,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,76
Scenario1,4,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,79
Scenario1,5,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,84
Scenario1,6,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,93
Scenario1,7,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,88
Scenario1,8,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,90
Scenario1,9,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,83
Scenario1,10,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,93
Scenario1,1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,7,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,Collected_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,2,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,3,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,4,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
